n_drivers,ablation,seed,utility,gini,variance,std,completed
100,full,20260721,1107839.343446638,0.11144277175750572,5553748.8652719995,2356.639315905597,114783
100,full,20260722,1137343.5383825356,0.12205592000586751,6505512.482937122,2550.590614531686,118235
100,full,20260723,1099156.015609268,0.12607548632784793,7525996.640787826,2743.3549972228943,114139
100,no_forecast,20260721,774352.0231004077,0.09602021583943476,2049257.8075236676,1431.5228980088539,76424
100,no_forecast,20260722,771257.039844326,0.10240013535961112,2006227.3175348234,1416.4135404375459,75929
100,no_forecast,20260723,810489.5678467976,0.10121790298940381,2188436.384710604,1479.3364677146994,80063
200,full,20260721,1433469.52301574,0.21098637571849777,9081153.7277319,3013.495267580804,153969
200,full,20260722,1412303.787614009,0.20358463207387212,7940885.121892613,2817.957615347082,151035
200,full,20260723,1426825.976813615,0.20149538259873978,8812076.498449901,2968.5141903736794,153068
200,no_forecast,20260721,1152706.8527391138,0.15051687611645814,2569612.0003792373,1603.0009358634939,117657
200,no_forecast,20260722,1149234.3323679753,0.13758225518053946,2127893.975745719,1458.7302614759587,117399
200,no_forecast,20260723,1162346.65788124,0.16065187555213867,3031671.8989219423,1741.1696927416185,118530
400,full,20260721,1819207.3386602371,0.23958194381108666,3868164.905180239,1966.765086424975,194419
400,full,20260722,1813619.2273163344,0.23847524767227668,3843561.8894725805,1960.5004181260917,193848
400,full,20260723,1819209.2121764924,0.24098439121092152,3930020.6942738257,1982.4279795931618,194259
400,no_forecast,20260721,1812090.7481435903,0.23697664075785219,3770924.9498678106,1941.8869559961029,193182
400,no_forecast,20260722,1817282.761982268,0.23879013248414882,3829589.8015999724,1956.933775476312,193899
400,no_forecast,20260723,1822356.7483921985,0.22926016475252742,3482228.7525713933,1866.073083395019,194511
