day,weekday,is_weekend,incremental_full_utility,incremental_no_forecast_utility,incremental_gap
1,Thursday,False,55469.99,55469.99,0.0
2,Friday,False,53096.78,53098.56,-1.78
3,Saturday,True,48864.68,48843.62,21.06
4,Sunday,True,39394.18,39372.45,21.73
5,Monday,False,49699.29,49645.52,53.77
6,Tuesday,False,52769.38,52759.95,9.43
7,Wednesday,False,53279.8,53300.98,-21.18
8,Thursday,False,53701.85,53675.49,26.36
9,Friday,False,50494.51,50584.95,-90.45
10,Saturday,True,48134.91,48152.31,-17.41
11,Sunday,True,40524.0,40531.67,-7.66
12,Monday,False,45399.17,45495.08,-95.91
13,Tuesday,False,47772.98,47498.96,274.02
14,Wednesday,False,47229.48,45889.68,1339.8
15,Thursday,False,44752.92,41788.54,2964.38
16,Friday,False,39842.27,34350.02,5492.24
17,Saturday,True,38233.56,31544.9,6688.65
18,Sunday,True,31074.53,23569.74,7504.79
19,Monday,False,30457.61,24235.3,6222.31
20,Tuesday,False,31887.65,22943.2,8944.44
21,Wednesday,False,28233.24,18599.86,9633.38
22,Thursday,False,23664.13,13206.25,10457.88
23,Friday,False,21869.63,12089.57,9780.06
24,Saturday,True,23592.3,14250.83,9341.47
25,Sunday,True,23027.82,14668.39,8359.43
26,Monday,False,23686.25,14602.34,9083.91
27,Tuesday,False,28373.7,17810.85,10562.85
28,Wednesday,False,31549.93,20159.26,11390.67
29,Thursday,False,29432.28,16529.6,12902.68
30,Friday,False,30382.93,15969.92,14413.02
31,Saturday,True,35810.91,20878.87,14932.04
32,Sunday,True,29819.3,15504.82,14314.49
33,Monday,False,29926.64,16299.85,13626.79
34,Tuesday,False,30570.43,16623.31,13947.11
35,Wednesday,False,32967.85,19126.67,13841.19
36,Thursday,False,34303.04,18828.76,15474.27
37,Friday,False,33118.76,17605.02,15513.75
