day,n_commits,mean_abs_efficiency_term,mean_abs_fairness_term,fairness_share
1,17616,45.0859,0.536,0.0117
2,16732,43.2131,0.2934,0.0067
3,15613,43.0085,0.3902,0.009
4,12942,45.8753,0.3916,0.0085
5,15754,45.9726,0.4506,0.0097
6,16479,45.8277,0.7039,0.0151
7,16462,45.7066,0.7724,0.0166
8,16966,44.6505,0.8387,0.0184
9,16014,43.3023,0.8881,0.0201
10,15671,42.9446,0.9988,0.0227
11,13478,45.8037,0.9626,0.0206
12,14787,45.8504,1.1311,0.0241
13,15286,45.4546,1.4221,0.0303
14,14490,45.406,1.645,0.035
15,13913,44.5165,1.7693,0.0382
16,12103,43.1521,2.011,0.0445
17,11991,42.8392,2.0278,0.0452
18,9501,44.977,2.1833,0.0463
19,10105,45.1975,2.0304,0.043
20,10213,44.9312,2.1393,0.0454
21,9583,43.1764,1.952,0.0433
22,8298,43.7234,2.174,0.0474
23,7782,43.2287,2.2159,0.0488
24,8301,42.9855,2.1955,0.0486
25,7824,44.9974,2.1956,0.0465
26,7681,44.6687,2.2275,0.0475
27,8941,45.0375,2.1963,0.0465
28,9984,44.6548,2.144,0.0458
29,9477,43.8482,2.2946,0.0497
30,10055,43.1884,2.2639,0.0498
31,11945,42.7945,1.9771,0.0442
32,10016,45.4076,1.9638,0.0415
33,9676,45.3124,2.083,0.044
34,9952,45.0465,2.1305,0.0452
35,10453,45.0521,2.0786,0.0441
36,10872,44.2904,2.1242,0.0458
37,10902,42.9739,2.044,0.0454
