model,seed,utility,gini,variance,std,completed_trips,mean_batch_latency_ms,runtime_seconds
MOMAQL (Tabular Q),20260721,1433469.52301574,0.21098637571849777,9081153.7277319,3013.495267580804,153969,0.206,55.82
MOMAQL (Tabular Q),20260722,1412303.787614009,0.20358463207387212,7940885.121892613,2817.957615347082,151035,0.2,55.61
MOMAQL (Tabular Q),20260723,1426825.976813615,0.20149538259873978,8812076.498449901,2968.5141903736794,153068,0.186,53.41
MOMAQL (Tabular Q),20260724,1416164.3365604978,0.19539651087930987,7472694.6332489755,2733.622986669701,151410,0.179,52.03
MOMAQL (Tabular Q),20260725,1423441.979416187,0.20721829938816327,8421449.411461283,2901.9733650502862,152418,0.176,51.86
MOMAQL (MLP Demand Forecast),20260721,1384544.284351462,0.22977366899170248,10706889.937786603,3272.1384349973036,152948,0.206,53.91
MOMAQL (MLP Demand Forecast),20260722,1408371.1813187385,0.23296110045882212,11124605.594223728,3335.356891582028,155472,0.201,53.08
MOMAQL (MLP Demand Forecast),20260723,1393205.2591771379,0.2118248859427918,9280054.853118785,3046.3182455414576,153670,0.203,53.45
MOMAQL (MLP Demand Forecast),20260724,1398726.099136447,0.23119380062084693,11339384.90531356,3367.4003185415245,154521,0.203,53.62
MOMAQL (MLP Demand Forecast),20260725,1377518.1540913898,0.22263991144503348,10369707.991154382,3220.203097811438,152286,0.214,55.0
No-Forecast,20260721,1152706.8527391138,0.15051687611645814,2569612.0003792373,1603.0009358634939,117657,0.171,54.21
No-Forecast,20260722,1149234.3323679753,0.13758225518053946,2127893.975745719,1458.7302614759587,117399,0.168,53.99
No-Forecast,20260723,1162346.65788124,0.16065187555213867,3031671.8989219423,1741.1696927416185,118530,0.166,53.67
No-Forecast,20260724,1186955.5904181164,0.13376207899796322,2224587.5608192976,1491.5051326828539,121609,0.173,54.0
No-Forecast,20260725,1159142.155684126,0.14632617576328388,2413725.332597294,1553.6168551471415,118321,0.173,54.47
