lambda,seed,utility,gini,variance,std,n_completed
0.0,20260721,898370.2493345842,0.4445175244076589,13685842.392380811,3699.438118468913,90128
0.0,20260722,895354.4820957973,0.446635475092912,13558174.473365955,3682.1426470692245,90101
0.0,20260723,931963.9454619588,0.4628411947739326,17014347.650416292,4124.845166841574,93971
0.0,20260724,904778.7803640835,0.4420011509789745,13876320.536438517,3725.0933594258436,91050
0.0,20260725,859659.0562174434,0.4558833484890483,13038110.36635154,3610.832364753526,86068
0.2,20260721,1278736.3207373729,0.25034460129675895,9964866.892301926,3156.717740359744,133525
0.2,20260722,1281444.1390184262,0.2371560843023437,8635413.20848993,2938.6073586802863,133709
0.2,20260723,1276219.9210905635,0.25276891074876384,9458031.172858162,3075.391222732185,133139
0.2,20260724,1268762.8389350392,0.2493551092524029,10607339.825537575,3256.8911289046146,132496
0.2,20260725,1262287.9809976295,0.24972704973782078,9787074.746992275,3128.4300770501927,131635
0.4,20260721,1383704.6951205672,0.21972608830748963,9496274.828313978,3081.602639587716,146799
0.4,20260722,1388577.8174585812,0.21727318802183304,8819278.904103996,2969.727075692983,147173
0.4,20260723,1394490.4561894739,0.21539309750332758,9489320.807736738,3080.4741206081794,148217
0.4,20260724,1383050.5424705904,0.22156904827899115,9143125.067802012,3023.7600876726333,146785
0.4,20260725,1365037.7331360565,0.22374631239535892,9025371.101187058,3004.225540998388,144500
0.5,20260721,1433469.52301574,0.21098637571849777,9081153.7277319,3013.495267580804,153969
0.5,20260722,1412303.787614009,0.20358463207387212,7940885.121892613,2817.957615347082,151035
0.5,20260723,1426825.976813615,0.20149538259873978,8812076.498449901,2968.5141903736794,153068
0.5,20260724,1416164.3365604978,0.19539651087930987,7472694.6332489755,2733.622986669701,151410
0.5,20260725,1423441.979416187,0.20721829938816327,8421449.411461283,2901.9733650502862,152418
0.6,20260721,1442180.556262639,0.1934443049754757,7527852.034051478,2743.6931377345168,156176
0.6,20260722,1431904.73006014,0.19901266452182198,8036164.535445116,2834.8129630444964,154962
0.6,20260723,1429528.3119342125,0.1931006586004893,7953332.672056313,2820.165362537508,155024
0.6,20260724,1421407.9518318872,0.21340820267442617,9628048.429017754,3102.909671424187,154500
0.6,20260725,1436063.876229775,0.19728873661820767,7672221.474157405,2769.877519703246,155289
0.8,20260721,1555801.3003820793,0.2288231209870557,12716790.922705917,3566.0609813498586,172692
0.8,20260722,1561046.0330041982,0.22789494820240996,12820499.251810111,3580.572475430446,173048
0.8,20260723,1572268.0836361693,0.23827691204778145,13596613.579878047,3687.358618290069,174576
0.8,20260724,1554287.4872612476,0.2250560445794776,11847043.94397396,3441.9535069454323,172281
0.8,20260725,1533603.756472155,0.22104178614678394,11348720.716135247,3368.7862378214572,170064
1.0,20260721,731813.543492229,0.002050510221873525,620.1253245248005,24.90231564583504,76258
1.0,20260722,769555.1528704838,0.0018291345530327963,707.43267243326,26.597606517001864,81063
1.0,20260723,797745.3063436771,0.0017916271478068957,797.1788428741744,28.234355719126555,84111
1.0,20260724,747986.863222953,0.0019428384016413336,765.9918566040635,27.67655788937749,78465
1.0,20260725,784224.7898860358,0.001865490007266546,595.4344406156426,24.401525374772017,82260
