day,n_states_visited,cumulative_visits,mean_abs_delta_q_vs_prev_day
1,1086,4495,nan
2,1238,8789,2.5401
3,1296,13745,2.6512
4,1334,19364,2.6988
5,1356,24703,2.5176
6,1373,29055,1.8124
7,1381,33757,1.8776
8,1384,38862,1.9191
9,1393,44084,1.8755
10,1401,49591,1.8299
11,1406,55342,1.961
12,1410,61038,1.821
13,1416,65738,1.3654
14,1418,70687,1.3667
15,1418,75907,1.4165
16,1420,81042,1.4652
17,1420,85761,1.3119
18,1424,90765,1.4929
19,1427,95556,1.2929
20,1427,100031,1.1599
21,1427,104031,0.9051
22,1427,108223,1.0284
23,1429,112114,0.9953
24,1430,116245,1.0447
25,1430,120448,1.1088
26,1432,124736,1.063
27,1436,128662,0.9361
28,1437,132511,0.834
29,1438,136242,0.8826
30,1438,140116,0.8702
31,1439,144052,0.8564
32,1439,147982,0.8943
33,1440,152180,0.9395
34,1440,156341,0.9186
35,1440,159992,0.7543
36,1441,163609,0.7571
37,1441,167376,0.8178
